Model,Accuracy,Precision,Recall,F1,ROC_AUC
Tuned SVM,0.71,0.5113636363636364,0.75,0.6081081081081081,0.7858928571428571
Tuned Logistic Regression,0.73,0.59375,0.31666666666666665,0.41304347826086957,0.7663095238095238
Logistic Regression from Scratch,0.72,0.5476190476190477,0.38333333333333336,0.45098039215686275,0.7555952380952381
Tuned Gaussian Naive Bayes,0.675,0.47191011235955055,0.7,0.5637583892617449,0.7020238095238096
